time	obs_wavelength	flux	instrument	integration	time_unit	wavelength_unit	flux_unit	redshift	dtime	rest_wavelength	integration_unit	reference	date	date_unit	time_frame	sky_flux
0.76	3776.7	1.96e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3683.866562621928	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3802.3	1.888e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3708.8373000390175	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3827.9	1.725e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3733.808037456107	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3853.4	1.736e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3758.6812329301606	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3879.0	1.564e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3783.6519703472495	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3904.6	1.42e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3808.622707764339	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3930.1	1.465e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3833.4959032383927	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3955.7	1.439e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3858.466640655482	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3981.3	1.565e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3883.437378072572	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4006.8	1.311e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3908.3105735466256	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
